mp_election_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note,national_average_debate,national_average_pmb,national_average_questions,attendance_national_average,state_average_debate,state_average_pmb,state_average_questions,attendance_state_average,mp_house
170164,Suresh Channabasappa Angadi,Elected,23-05-2019,23-09-2020,Fourth Term,Belgaum,Karnataka,Bharatiya Janata Party,Male,Professional Graduate,"B. Com, LL.B. (Spl.); Educated at S.S. S. Samiti College of Commerce, Belgaum and; R.L. Law College, Belgaum",68,N/A,N/A,N/A,N/A,"This MP was a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lok Sabha
170141,Jugal Kishore,Elected,23-05-2019,In Office,Second Term,Jammu,Jammu and Kashmir,Bharatiya Janata Party,Male,Matric,Matriculation,61,63,2,310,0.875912409, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,49.4,0.6,102.6,0.717518248,Lok Sabha
170233,Riti Pathak,Elected,23-05-2019,07-12-2023,Second Term,Sidhi,Madhya Pradesh,Bharatiya Janata Party,Female,Post Graduate,"B.A., M.A., L.L.B",46,60,4,278,0.968503937, Data corresponds to the period from 01-06-2019 to 10-02-2024.,44.05886762,1.503146169,195.0827658,0.788685748,32.38545584,0.953846154,151.4781197,0.858216753,Lok Sabha
170220,Rakesh Singh,Elected,23-05-2019,07-12-2023,Fourth Term,Jabalpur,Madhya Pradesh,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Educated at Government Science College, Jabalpur",61,24,4,146,0.842519685, Data corresponds to the period from 01-06-2019 to 10-02-2024.,44.05886762,1.503146169,195.0827658,0.788685748,32.38545584,0.953846154,151.4781197,0.858216753,Lok Sabha
170252,Unmesh Bhaiyyasaheb Patil,Elected,23-05-2019,In Office,First Term,Jalgaon,Maharashtra,Bharatiya Janata Party,Male,Graduate,"Diploma in Chemical Engineering, B.E. in Chemical Engineering and E-Commerce from Mumbai",45,133,8,457,0.770072993, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,57.62895399,2.884415584,386.1699755,0.744321006,Lok Sabha
170272,Girish Bhalchandra Bapat,Elected,23-05-2019,29-03-2023,First Term,Pune,Maharashtra,Bharatiya Janata Party,Male,Graduate,"B.Com Educated at B.M.C.C. College of Commerce, Pune",74,27,1,367,0.681415929, Data corresponds to the period from 01-06-2019 to 10-02-2024.,41.44616422,1.224559891,173.4916736,0.788685748,51.17878788,2.360606061,321.9656566,0.744321006,Lok Sabha
170328,Santokh Singh Chaudhary,Elected,23-05-2019,14-01-2023,Second Term,Jalandhar,Punjab,Indian National Congress,Male,Professional Graduate,"B.A., L.L.B.",77,19,2,45,0.819512195, Data corresponds to the period from 01-06-2019 to 10-02-2024.,39.74637126,1.224559891,155.6034748,0.788685748,32.84090909,1.136363636,82.14393939,0.701079711,Lok Sabha
170352,Hanumana Ram,Elected,23-05-2019,15-12-2023,First Term,Nagaur,Rajasthan,Rashtriya Loktantrik Party,Male,Professional Graduate,"B.A. LLB., Diploma in Co-operative
Educated at Rajasthan University",51,185,2,249,0.901886792, Data corresponds to the period from 01-06-2019 to 10-02-2024.,44.75183489,1.503146169,200.8839597,0.788685748,75.84126984,2.714285714,263.5396825,0.899124478,Lok Sabha
170354,Diya Kumari,Elected,23-05-2019,07-12-2023,First Term,Rajsamand,Rajasthan,Bharatiya Janata Party,Female,Doctorate,"Decorative Arts, Hon. Doctorate in Philosophy
Educated at Chelsea School of Arts, U.K. and Amity University, Jaipur",53,31,2,198,0.881889764, Data corresponds to the period from 01-06-2019 to 10-02-2024.,44.05886762,1.503146169,195.0827658,0.788685748,75.28571429,2.714285714,256.7619048,0.899124478,Lok Sabha
170372,H. Vasanthakumar,Elected,23-05-2019,28-08-2020,First Term,Kanniyakumari,Tamil Nadu,Indian National Congress,Male,Post Graduate,Master of Arts (Tamil),73,40,2,104,0.875, Data corresponds to the period from 01-06-2019 to 10-02-2024.,16.50967727,0.294307337,49.1508735,0.788685748,18.94197031,0.184210526,56.13967611,0.741663341,Lok Sabha
170411,G. Kishan Reddy,Elected,23-05-2019,In Office,First Term,Secunderabad,Telangana,Bharatiya Janata Party,Male,Diploma Course,"Diploma in Tool Engineering, Educated at Central Institute of Tool Engineering , Balanagar, Hyderabad, Telangana",63,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lok Sabha
170400,Asaduddin Owaisi,Elected,23-05-2019,In Office,Fourth Term,Hyderabad,Telangana,All India Majlis-E-Ittehadul Muslimeen,Male,Professional Graduate,"LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College",54,60,3,366,0.715328467, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,23.69166667,0.375,213.3166667,0.70120878,Lok Sabha
170022,Ram Mohan Naidu Kinjarapu,Elected,23-05-2019,In Office,Second Term,Srikakulam,Andhra Pradesh,Telugu Desam Party,Male,Professional Post Graduate,M.B.A,36,85,3,285,0.839416058, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,37.96833333,1.04,279.925,0.729402372,Lok Sabha
