Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,Abu Bakar Rahmani,MADHUBANI,Country Citizen Party,0,Post Graduate,"Rs 13,58,312 ~ 13 Lacs+",Rs 0 ~
2,Adv Najib Shaikh,AKOLA,Indian National League,0,Graduate Professional,"Rs 25,87,782 ~ 25 Lacs+","Rs 18,00,000 ~ 18 Lacs+"
3,Advocate Balwinder Kumar,JALANDHAR (SC),BSP,1,Post Graduate,"Rs 49,72,497 ~ 49 Lacs+",Rs 0 ~
4,Anandswamy Gaddadevarmath,HAVERI,INC,1,Graduate,"Rs 56,81,54,912 ~ 56 Crore+","Rs 22,46,68,569 ~ 22 Crore+"
5,Bhagyaraj. J,VILUPPURAM (SC),AIADMK,0,12th Pass,,
6,Boominathan C,MADURAI,IND,0,5th Pass,"Rs 9,37,466 ~ 9 Lacs+","Rs 42,000 ~ 42 Thou+"
7,Jagadesan A,KALLAKURICHI,Naam Tamilar Katchi,1,Graduate,"Rs 51,76,118 ~ 51 Lacs+",Rs 0 ~
8,Karthikairajan P,SIVAGANGA,IND,0,Graduate,"Rs 32,946 ~ 32 Thou+",Rs 0 ~
9,L. Khaja Hussain,KADAPA,IND,0,Graduate,"Rs 92,46,142 ~ 92 Lacs+",Rs 0 ~
10,M.Nagaraj,CHENNAI CENTRAL,IND,1,Graduate Professional,,
11,P. Sivakozhundu,CUDDALORE,DMDK,1,5th Pass,"Rs 84,08,000 ~ 84 Lacs+","Rs 20,00,000 ~ 20 Lacs+"
12,"Sathiyamoorthy, S.",TIRUVANNAMALAI,Makkal Nala Kazhagam,0,Post Graduate,"Rs 2,39,71,104 ~ 2 Crore+",Rs 0 ~
13,Senthilmallar K,RAMANATHAPURAM,IND,1,Post Graduate,"Rs 12,74,059 ~ 12 Lacs+",Rs 0 ~
14,Shoban Babu V,BANGALORE NORTH,Indian Labour Party (Ambedkar Phule),0,5th Pass,"Rs 50,000 ~ 50 Thou+",Rs 0 ~
15,A . Raj,BANGALORE SOUTH,IND,0,Graduate,,
16,A Annadurai,TIRUVANNAMALAI,IND,0,10th Pass,"Rs 6,84,000 ~ 6 Lacs+",Rs 0 ~
17,A Asuvathaman,TIRUVANNAMALAI,BJP,2,Graduate Professional,"Rs 60,23,719 ~ 60 Lacs+","Rs 29,98,008 ~ 29 Lacs+"
